id,id_harga_beras,id_group
847,18637,23
848,18663,82
849,18669,82
850,18671,82
851,18703,23
852,18730,82
853,18737,82
854,18767,23
855,18792,82
856,18799,82
857,18833,23
858,18861,82
859,18869,82
860,18902,23
861,18913,82
862,18930,82
863,18937,82
864,18969,23
865,18971,23
866,18981,82
867,18996,82
868,19003,82
869,19034,23
870,19058,82
871,19066,82
872,19083,23
873,19096,23
874,19115,82
875,19129,82
876,19149,23
877,19163,23
878,19175,82
879,19184,82
880,19199,82
881,19211,23
882,19217,23
883,19229,23
884,19239,82
885,19248,82
886,19261,82
887,19280,23
888,19302,82
889,19312,82
890,19325,82
891,19345,23
892,19356,23
893,19377,82
894,19389,82
895,19421,23
896,19455,82
897,19475,23
898,19488,23
899,19509,82
900,19523,82
901,19544,23
902,19558,23
903,19580,82
904,19615,23
905,19627,23
906,19648,82
907,19681,23
908,19693,23
909,19714,82
910,19741,23
911,19807,23
912,19821,23
913,19840,83
914,19890,23
915,19948,23
916,19962,23
917,19984,84
918,20017,23
919,20031,23
920,20050,84
921,20086,23
922,20101,23
923,20123,84
924,20134,84
925,20158,23
926,20191,84
927,20201,84
928,20247,84
929,20290,24
930,20298,24
931,20302,24
932,20324,84
933,20333,84
934,20366,24
935,20371,24
936,20406,84
937,20436,24
938,20440,24
939,20504,24
940,20570,24
941,20573,24
942,20633,24
943,20696,24
944,20761,24
945,20765,24
946,20825,24
947,20828,24
948,20890,24
949,20895,24
950,20906,85
951,20963,24
952,20967,24
953,20979,85
954,21035,24
955,21050,85
956,21102,24
957,21106,24
958,21169,24
959,21231,24
960,21234,24
961,21267,86
962,21299,24
963,21304,24
964,21343,86
965,21375,24
966,21409,86
967,21439,24
968,21453,86
969,21477,86
970,21508,24
971,21512,24
972,21523,86
973,21548,86
974,21549,86
975,21577,24
976,21582,24
977,21615,86
978,21616,86
979,21644,24
980,21647,24
981,21680,86
982,21681,86
983,21709,24
984,21712,24
985,21744,86
986,21745,86
987,21774,24
988,21810,86
989,21836,24
990,21840,24
991,21873,86
992,21897,24
993,21901,24
994,21958,24
995,21995,87
996,22021,24
997,22055,87
998,22084,24
999,22112,87
1000,22122,87
1001,22151,24
1002,22190,87
1003,22191,87
1004,22220,24
1005,22225,24
1006,22259,87
1007,22261,87
1008,22263,87
1009,22291,24
1010,22296,24
1011,22331,87
1012,22333,87
1013,22344,24
1014,22363,24
1015,22368,24
1016,22379,87
1017,22388,87
1018,22402,87
1019,22404,87
1020,22407,24
1021,22413,24
1022,22433,24
1023,22447,87
1024,22457,87
1025,22470,87
1026,22471,87
1027,22481,24
1028,22492,24
1029,22498,24
1030,22502,24
1031,22513,87
1032,22521,87
1033,22533,87
1034,22535,87
1035,22545,24
1036,22556,24
1037,22563,24
1038,22566,24
1039,22577,87
1040,22587,87
1041,22597,87
1042,22599,87
1043,22609,24
1044,22621,24
1045,22630,24
1046,22641,87
1047,22642,87
1048,22649,87
1049,22663,87
1050,22674,24
1051,22688,24
1052,22694,24
1053,22699,24
1054,22709,87
1055,22710,87
1056,22719,87
1057,22733,87
1058,22735,87
1059,22744,24
1060,22758,24
1061,22765,24
1062,22770,24
1063,22782,87
1064,22783,87
1065,22792,87
1066,22807,87
1067,22809,87
1068,22820,24
1069,22833,24
1070,22840,24
1071,22845,24
1072,22857,87
1073,22866,87
1074,22881,87
1075,22883,87
1076,22893,24
1077,22903,24
1078,22910,24
1079,22915,24
1080,22926,87
1081,22927,87
1082,22933,87
1083,22947,87
1084,22949,87
1085,22959,24
1086,22970,24
1087,22977,24
1088,22990,87
1089,22991,87
1090,22998,87
1091,23010,87
1092,23011,87
1093,23021,24
1094,23033,24
1095,23039,24
1096,23054,87
1097,23063,87
1098,23076,87
1099,23077,87
1100,23088,24
1101,23099,24
1102,23106,24
1103,23111,24
1104,23122,87
1105,23129,87
1106,23144,87
1107,23146,87
1108,23168,24
1109,23173,24
1110,23197,87
1111,23207,87
1112,23210,87
1113,23211,87
1114,23221,24
1115,23232,24
1116,23239,24
1117,23240,24
1118,23243,24
1119,23254,87
1120,23261,87
1121,23273,87
1122,23275,87
1123,23277,87
1124,23300,24
1125,23307,24
1126,23312,24
1127,23324,87
1128,23333,87
1129,23344,87
1130,23347,87
1131,23349,87
1132,23359,24
1133,23370,24
1134,23376,24
1135,23391,87
1136,23392,87
1137,23399,87
1138,23409,87
1139,23412,87
1140,23413,87
1141,23421,24
1142,23432,24
1143,23438,24
1144,23443,24
1145,23452,87
1146,23457,87
1147,23461,87
1148,23469,87
1149,23470,87
1150,23473,87
1151,23475,87
1152,23484,24
1153,23488,24
1154,23501,24
1155,23506,24
1156,23516,87
1157,23521,87
1158,23524,87
1159,23533,87
1160,23537,87
1161,23539,87
1162,23550,24
1163,23563,24
1164,23567,24
1165,23570,24
1166,23586,87
1167,23591,87
1168,23595,87
1169,23606,87
1170,23610,87
1171,23611,87
1172,23617,24
1173,23620,24
1174,23633,24
1175,23637,24
1176,23640,24
1177,23654,87
1178,23659,87
1179,23663,87
1180,23671,87
1181,23674,87
1182,23678,87
1183,23679,87
1184,23685,24
1185,23688,24
1186,23699,24
1187,23704,24
1188,23717,87
1189,23721,87
1190,23725,87
1191,23733,87
1192,23736,87
1193,23737,87
1194,23743,24
1195,23746,24
1196,23759,24
1197,23763,24
1198,23766,24
1199,23778,87
1200,23783,87
1201,23788,87
1202,23795,87
1203,23798,87
1204,23801,87
1205,23808,24
1206,23811,24
1207,23822,24
1208,23826,24
1209,23829,24
