row_id,id,cluster_id
824,239625,1
825,239626,2
826,239627,2
827,239635,22
828,239638,23
829,239640,24
830,239641,24
831,239642,25
832,240607,1
833,240608,1
834,240609,1
835,240610,1
836,240611,1
837,240612,2
838,240613,2
839,240626,24
840,240628,25
841,241576,20
842,241577,20
843,241578,20
844,241579,21
845,241580,21
846,241581,21
847,241607,22
848,241610,23
849,241612,24
850,241613,24
851,241614,25
852,242562,20
853,242563,20
854,242564,20
855,242565,21
856,242566,21
857,242567,21
858,242593,22
859,242596,23
860,242598,24
861,242599,24
862,242600,25
863,243548,20
864,243549,20
865,243550,20
866,243551,21
867,243552,21
868,243553,21
869,243565,1
870,243566,1
871,243567,1
872,243568,1
873,243569,1
874,243570,2
875,243571,2
876,243579,22
877,243582,23
878,243584,24
879,243585,24
880,243586,25
881,243630,33
882,243635,33
883,243636,33
884,243648,33
885,243669,19
886,243678,19
887,243689,44
888,243692,44
889,243701,3
890,243702,26
891,243703,3
892,243704,26
893,243705,3
894,243706,26
895,243707,3
896,243708,26
897,243709,3
898,243710,26
899,243711,3
900,243712,26
901,243713,3
902,243714,26
903,243715,3
904,243716,26
905,243717,3
906,243718,26
907,243719,3
908,243720,26
909,243721,3
910,243722,26
911,243723,3
912,243724,26
913,243725,3
914,243726,26
915,243727,3
916,243728,26
917,243729,3
918,243730,26
919,243731,3
920,243732,26
921,243733,3
922,243734,26
923,243735,3
924,243736,26
925,243737,3
926,243738,26
927,243739,3
928,243740,26
929,243741,3
930,243742,26
931,243743,3
932,243744,26
933,243745,3
934,243746,26
935,243747,3
936,243748,26
937,243749,26
938,243750,3
939,243751,26
940,243752,3
941,243753,26
942,243754,3
943,243755,26
944,243756,3
945,243757,26
946,243758,3
947,243759,26
948,243760,3
949,243761,26
950,243762,3
951,243763,26
952,243764,3
953,243765,26
954,243766,3
955,243767,3
956,243768,26
957,243769,3
958,243770,26
959,243771,26
960,243773,26
961,243774,3
962,243775,26
963,243807,11
964,243818,33
965,243823,33
966,243835,33
967,243842,33
968,243874,11
969,243882,33
970,243883,33
971,243887,33
972,243888,33
973,243899,33
974,243905,33
975,243916,11
976,243949,33
977,243951,33
978,243954,33
979,243964,33
980,244003,11
981,244014,33
982,244017,33
983,244018,33
984,244029,33
985,244031,33
986,244035,33
987,244122,19
988,244128,19
989,244140,44
990,244163,19
991,244169,19
992,244178,44
993,244181,44
994,244193,19
995,244201,19
996,244207,19
997,244210,19
998,244218,44
999,244242,19
1000,244248,19
1001,244259,44
1002,244262,44
1003,244312,4
1004,244313,4
1005,244315,27
1006,244316,27
1007,244318,4
1008,244319,4
1009,244321,27
1010,244322,27
1011,244324,4
1012,244325,4
1013,244327,27
1014,244328,27
1015,244330,4
1016,244331,4
1017,244333,27
1018,244334,27
1019,244336,4
1020,244337,4
1021,244339,27
1022,244340,27
1023,244342,4
1024,244343,4
1025,244345,27
1026,244346,27
1027,244348,4
1028,244349,4
1029,244351,27
1030,244352,27
1031,244354,4
1032,244355,4
1033,244357,27
1034,244358,27
1035,244360,4
1036,244361,4
